hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
Norishico Auto Guesthouse,Fukuoka-City,2800,16.1km from city centre,10,Superb,10,10,10,10,10,10,10,130.528032,33.49096
Tabicolle Backpackers,Fukuoka-City,2500,2.3km from city centre,10,Superb,10,10,10,10,10,10,10,130.4248084,33.5821253
Fukuoka Backpackers Hostel,Fukuoka-City,2300,2.5km from city centre,8.3,Fabulous,7.5,8.6,8,8.2,8.8,8.9,8.1,130.428142,33.584119
montan HAKATA,Fukuoka-City,3000,2.4km from city centre,9.4,Superb,9.3,9.8,9.7,8.8,9.5,9.5,9.5,130.427977,33.588725
Book And Bed Tokyo Fukuoka,Fukuoka-City,4300,0.3km from city centre,8.6,Fabulous,8,10,6,10,8,10,8,130.3979662,33.5909933
THE LIFE hostel & bar lounge,Fukuoka-City,2400,0.9km from city centre,9.1,Superb,8.9,9.4,9.2,9.3,8.8,9.2,8.9,130.4113419,33.5912939
Fukuoka Hana Hostel,Fukuoka-City,2500,0.8km from city centre,9,Superb,8.3,9.2,8.8,9.5,9,9.3,9,130.4097719,33.5926482
HATAGO tenjin,Fukuoka-City,2300,0.6km from city centre,8.4,Fabulous,8.7,8.7,8.7,10,7.3,7.3,8,130.3976545,33.5946282
Kia Ora Budgetstay,Fukuoka-City,2600,2km from city centre,9,Superb,8,8.8,8.8,9.2,9.3,9.8,8.8,130.4225942,33.5951129
WeBase HAKATA,Fukuoka-City,3000,0.9km from city centre,9.5,Superb,9,9.8,9.7,9.4,9.7,9.7,9.3,130.408271,33.595674
Guest House Kaine,Fukuoka-City,2500,0.7km from city centre,8.9,Fabulous,10,9,8.5,9,7.5,10,8.5,130.403731,33.596604
Common de Hostel & Bar,Fukuoka-City,2500,0.8km from city centre,9.9,Superb,10,10,10,9,10,10,10,130.4032209,33.5978245
Harborside Guest House MINATO,Fukuoka-City,2500,1.5km from city centre,8.4,Fabulous,7.5,9,8.5,7,9.5,9,8.5,130.406397,33.603186
Tonagi Hostel × Cafe,Fukuoka-City,2500,2km from city centre,8.9,Fabulous,9,9,9.3,7.3,9.3,9,9.3,130.41452,33.604248
Hostel & Cafe Bar Backpackers Miyajima,Hiroshima,2900,16.1km from city centre,9.2,Superb,9.2,9.3,9,9.2,9.1,9.6,8.9,132.3046213,34.3101872
Omotenashi Hostel Miyajima,Hiroshima,2500,13.5km from city centre,9.1,Superb,8.8,9.7,9.5,7.9,9.2,9.5,9.3,132.319971,34.3369812
Hostel Mallika,Hiroshima,2500,0.7km from city centre,9.3,Superb,8.5,9.5,9.2,9.7,9.4,9.6,9.3,132.4499424,34.389848
Santiago Guesthouse Hiroshima,Hiroshima,2000,0.7km from city centre,8.9,Fabulous,8.5,8.9,8.7,9.6,9,8.6,8.8,132.4594088,34.3903664
Backpackers Hostel K's House Hiroshima,Hiroshima,2600,1.9km from city centre,9.4,Superb,9,9.5,9.2,9.4,9.5,9.7,9.3,132.473831,34.392506
J-Hoppers Hiroshima Guesthouse,Hiroshima,2300,1.1km from city centre,9.1,Superb,8.5,9.3,9,9.3,9.3,9.4,9.2,132.4472444,34.3930208
Kyoubashi Ryokan,Hiroshima,3400,1.8km from city centre,8.6,Fabulous,6,10,6,10,10,8,10,132.4718215,34.3938412
Hiroshima Hana Hostel,Hiroshima,2300,2.4km from city centre,9,Superb,8.1,9.3,8.8,9.4,8.9,9.5,9,132.478765,34.395097
Guesthouse Hiroshima Mange Tak,Hiroshima,2800,1.4km from city centre,9.5,Superb,8.9,9.8,9.4,9.6,9.6,9.7,9.3,132.445801,34.3952854
The Evergreen Hostel,Hiroshima,2000,1.5km from city centre,9,Superb,8.6,9.1,8.7,9.2,8.9,9.3,9,132.449763,34.3978868
Guest House Com Inn Hiroshima,Hiroshima,2900,2.5km from city centre,8.9,Fabulous,7.3,10,8,8,10,10,8.7,132.443757,34.405665
Guest House Roku,Hiroshima,2900,2.7km from city centre,9.3,Superb,9.5,9.5,9,9,9.2,9.8,9.4,132.465716,34.4074787
Hiroshima Hostel EN,Hiroshima,3000,2.6km from city centre,9.6,Superb,9.8,9.7,9.3,9.3,9.3,9.8,9.7,132.450789,34.408
Bigtree Guesthouse,Osaka,2900,36.6km from city centre,9.6,Superb,9.3,9.8,9.3,9.1,10,10,9.3,135.3233376,34.4119443
Guesthouse Fujitatami,Osaka,2200,26.6km from city centre,9.1,Superb,9.8,9.8,9.3,6.8,9,9.8,9.3,135.4575132,34.4698056
Osaka International Youth Hostel,Osaka,2900,20.3km from city centre,9.4,Superb,10,10,10,6,10,10,10,135.433003,34.532974
Bonfire Hostel Osaka,Osaka,1800,9.5km from city centre,9.2,Superb,7.6,9.6,10,8,9.6,10,9.6,135.506891,34.621308
Air Osaka Hostel,Osaka,1600,9.7km from city centre,9.2,Superb,9.5,9.1,8.7,8.8,8.9,9.8,9.5,135.4769556,34.6222596
Guest House ODORI,Osaka,2800,7.9km from city centre,8.6,Fabulous,10,10,8,6,8,8,10,135.5231371,34.6372998
Umbrella House Osaka,Osaka,2300,8.5km from city centre,6.8,Good,6,8,6.6,5.4,7.4,7.4,6.9,135.546582,34.639764
